rank,codepoint_hex,char_display,count,fraction_of_total,unicode_major_category,unicode_bucket,unicode_name
761,U+2260,≠,76,1.00793468e-07,Sm,punct_or_symbol,NOT EQUAL TO
762,U+30AB,カ,76,1.00793468e-07,Lo,letter,KATAKANA LETTER KA
763,U+9547,镇,76,1.00793468e-07,Lo,letter,CJK UNIFIED IDEOGRAPH-9547
764,U+C9C0,지,76,1.00793468e-07,Lo,letter,HANGUL SYLLABLE JI
765,U+011D,ĝ,75,9.94672382e-08,Ll,letter,LATIN SMALL LETTER G WITH CIRCUMFLEX
766,U+072A,ܪ,75,9.94672382e-08,Lo,letter,SYRIAC LETTER RISH
767,U+2021,‡,75,9.94672382e-08,Po,punct_or_symbol,DOUBLE DAGGER
768,U+30EC,レ,75,9.94672382e-08,Lo,letter,KATAKANA LETTER RE
769,U+91D1,金,75,9.94672382e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-91D1
770,U+1F44D,👍,75,9.94672382e-08,So,punct_or_symbol,THUMBS UP SIGN
771,U+0171,ű,74,9.81410084e-08,Ll,letter,LATIN SMALL LETTER U WITH DOUBLE ACUTE
772,U+0299,ʙ,74,9.81410084e-08,Ll,letter,LATIN LETTER SMALL CAPITAL B
773,U+0917,ग,74,9.81410084e-08,Lo,letter,DEVANAGARI LETTER GA
774,U+200F,‏,74,9.81410084e-08,Cf,format,RIGHT-TO-LEFT MARK
775,U+514B,克,74,9.81410084e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-514B
776,U+1F448,👈,74,9.81410084e-08,So,punct_or_symbol,WHITE LEFT POINTING BACKHAND INDEX
777,U+0129,ĩ,73,9.68147785e-08,Ll,letter,LATIN SMALL LETTER I WITH TILDE
778,U+0533,Գ,73,9.68147785e-08,Lu,letter,ARMENIAN CAPITAL LETTER GIM
779,U+20A9,₩,73,9.68147785e-08,Sc,punct_or_symbol,WON SIGN
780,U+221A,√,73,9.68147785e-08,Sm,punct_or_symbol,SQUARE ROOT
781,U+2D30,ⴰ,73,9.68147785e-08,Lo,letter,TIFINAGH LETTER YA
782,U+5730,地,73,9.68147785e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5730
783,U+013C,ļ,72,9.54885487e-08,Ll,letter,LATIN SMALL LETTER L WITH CEDILLA
784,U+09A8,ন,72,9.54885487e-08,Lo,letter,BENGALI LETTER NA
785,U+1E62,Ṣ,72,9.54885487e-08,Lu,letter,LATIN CAPITAL LETTER S WITH DOT BELOW
786,U+2729,✩,72,9.54885487e-08,So,punct_or_symbol,STRESS OUTLINED WHITE STAR
787,U+516C,公,72,9.54885487e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-516C
788,U+592A,太,72,9.54885487e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-592A
789,U+C6D0,원,72,9.54885487e-08,Lo,letter,HANGUL SYLLABLE WEON
790,U+30B8,ジ,71,9.41623188e-08,Lo,letter,KATAKANA LETTER ZI
791,U+4E94,五,71,9.41623188e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-4E94
792,U+6CD5,法,71,9.41623188e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-6CD5
793,U+90A3,那,71,9.41623188e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-90A3
794,U+00A8,¨,70,9.28360890e-08,Sk,punct_or_symbol,DIAERESIS
795,U+0192,ƒ,70,9.28360890e-08,Ll,letter,LATIN SMALL LETTER F WITH HOOK
796,U+30A6,ウ,70,9.28360890e-08,Lo,letter,KATAKANA LETTER U
797,U+53BF,县,70,9.28360890e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-53BF
798,U+5C0F,小,70,9.28360890e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5C0F
799,U+8ECD,軍,70,9.28360890e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-8ECD
800,U+1F4CC,📌,70,9.28360890e-08,So,punct_or_symbol,PUSHPIN
801,U+1F917,🤗,70,9.28360890e-08,So,punct_or_symbol,HUGGING FACE
802,U+0122,Ģ,69,9.15098592e-08,Lu,letter,LATIN CAPITAL LETTER G WITH CEDILLA
803,U+0939,ह,69,9.15098592e-08,Lo,letter,DEVANAGARI LETTER HA
804,U+0E2D,อ,69,9.15098592e-08,Lo,letter,THAI CHARACTER O ANG
805,U+30D0,バ,69,9.15098592e-08,Lo,letter,KATAKANA LETTER BA
806,U+042B,Ы,68,9.01836293e-08,Lu,letter,CYRILLIC CAPITAL LETTER YERU
