init_seed,fold,condition,train_script,vocab_size,las_mean,uas_mean,n_test_tokens
44,3,transfer_tr,normalized,16000,0.20977596741344195,0.2953156822810591,491
44,4,transfer_tr,normalized,16000,0.2587991718426501,0.3830227743271222,483
45,0,transfer_tr,normalized,16000,0.2810304449648712,0.3700234192037471,427
45,1,transfer_tr,normalized,16000,0.28936170212765955,0.3680851063829787,470
45,2,transfer_tr,normalized,16000,0.2713936430317848,0.3569682151589242,409
45,3,transfer_tr,normalized,16000,0.24439918533604887,0.31568228105906315,491
45,4,transfer_tr,normalized,16000,0.2691511387163561,0.37267080745341613,483
46,0,transfer_tr,normalized,16000,0.25526932084309134,0.33021077283372363,427
46,1,transfer_tr,normalized,16000,0.20638297872340425,0.32340425531914896,470
46,2,transfer_tr,normalized,16000,0.27383863080684595,0.3691931540342298,409
46,3,transfer_tr,normalized,16000,0.23217922606924643,0.3136456211812627,491
46,4,transfer_tr,normalized,16000,0.17805383022774326,0.2712215320910973,483
42,0,transfer_tr_kk,normalized,16000,0.30679156908665106,0.405152224824356,427
42,1,transfer_tr_kk,normalized,16000,0.24893617021276596,0.3446808510638298,470
42,2,transfer_tr_kk,normalized,16000,0.21026894865525672,0.3105134474327628,409
42,3,transfer_tr_kk,normalized,16000,0.23014256619144602,0.3136456211812627,491
42,4,transfer_tr_kk,normalized,16000,0.2070393374741201,0.3146997929606625,483
43,0,transfer_tr_kk,normalized,16000,0.2646370023419204,0.34192037470725994,427
43,1,transfer_tr_kk,normalized,16000,0.23404255319148937,0.3574468085106383,470
43,2,transfer_tr_kk,normalized,16000,0.28117359413202936,0.3765281173594132,409
43,3,transfer_tr_kk,normalized,16000,0.14867617107942974,0.25661914460285135,491
43,4,transfer_tr_kk,normalized,16000,0.10973084886128365,0.20082815734989648,483
44,0,transfer_tr_kk,normalized,16000,0.2505854800936768,0.3559718969555035,427
44,1,transfer_tr_kk,normalized,16000,0.20851063829787234,0.3170212765957447,470
44,2,transfer_tr_kk,normalized,16000,0.2665036674816626,0.35207823960880197,409
44,3,transfer_tr_kk,normalized,16000,0.2158859470468432,0.29327902240325865,491
44,4,transfer_tr_kk,normalized,16000,0.2111801242236025,0.3064182194616977,483
45,0,transfer_tr_kk,normalized,16000,0.27400468384074944,0.3700234192037471,427
45,1,transfer_tr_kk,normalized,16000,0.26595744680851063,0.3723404255319149,470
45,2,transfer_tr_kk,normalized,16000,0.27383863080684595,0.3569682151589242,409
45,3,transfer_tr_kk,normalized,16000,0.21792260692464357,0.29327902240325865,491
45,4,transfer_tr_kk,normalized,16000,0.13043478260869565,0.2484472049689441,483
46,0,transfer_tr_kk,normalized,16000,0.2693208430913349,0.3629976580796253,427
46,1,transfer_tr_kk,normalized,16000,0.2936170212765957,0.37446808510638296,470
46,2,transfer_tr_kk,normalized,16000,0.293398533007335,0.3643031784841076,409
46,3,transfer_tr_kk,normalized,16000,0.15478615071283094,0.2545824847250509,491
46,4,transfer_tr_kk,normalized,16000,0.2670807453416149,0.37681159420289856,483
42,0,transfer_tr_kk_tt,normalized,16000,0.30210772833723654,0.41217798594847777,427
42,1,transfer_tr_kk_tt,normalized,16000,0.26595744680851063,0.3680851063829787,470
42,2,transfer_tr_kk_tt,normalized,16000,0.2591687041564792,0.3545232273838631,409
42,3,transfer_tr_kk_tt,normalized,16000,0.2158859470468432,0.3034623217922607,491
42,4,transfer_tr_kk_tt,normalized,16000,0.2650103519668737,0.3333333333333333,483
43,0,transfer_tr_kk_tt,normalized,16000,0.1522248243559719,0.29508196721311475,427
